Year,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,Units,Value
2010,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,6.451682
2011,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,5.833243
2012,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,3.2982620000000002
2013,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,4.6
2014,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,5.0
2015,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,2.6
2016,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,2.4
2017,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,5.3
2018,A,N,SH_HAP_HBSAG,KG06,F,PER_100000_POP,3.043862
2007,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,3.6754300000000004
2008,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,4.720552
2009,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,9.65648
2010,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,10.240565
2011,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,6.973549
2012,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,5.1332949999999995
2013,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,5.5
2014,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,7.7
2015,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,4.5
2016,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,6.8
2017,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,6.5
2018,A,N,SH_HAP_HBSAG,KG06,M,PER_100000_POP,5.813217
2007,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,7.635028
2008,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,5.776699
2009,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,4.832
2010,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,11.284379
2011,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,8.134502000000001
2012,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,8.424032
2013,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,7.9
2014,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,6.5
2015,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,5.2
2016,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,6.3
2017,A,N,SH_HAP_HBSAG,KG07,,PER_100000_POP,3.9
