Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,Units,Value
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.F,,CL_UNIT_MEASURE.PT,6.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG05,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,,,CL_UNIT_MEASURE.PT,7.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,,,CL_UNIT_MEASURE.PT,8.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,,,CL_UNIT_MEASURE.PT,7.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,,,CL_UNIT_MEASURE.PT,7.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,,,CL_UNIT_MEASURE.PT,7.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,,,CL_UNIT_MEASURE.PT,7.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,,,CL_UNIT_MEASURE.PT,6.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.M,,CL_UNIT_MEASURE.PT,8.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.M,,CL_UNIT_MEASURE.PT,10.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.M,,CL_UNIT_MEASURE.PT,10.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.M,,CL_UNIT_MEASURE.PT,10.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.M,,CL_UNIT_MEASURE.PT,10.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.1
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.1
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.F,,CL_UNIT_MEASURE.PT,6.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.F,,CL_UNIT_MEASURE.PT,6.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.F,,CL_UNIT_MEASURE.PT,6.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.F,,CL_UNIT_MEASURE.PT,5.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.F,,CL_UNIT_MEASURE.PT,5.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG03,CL_SEX.F,,CL_UNIT_MEASURE.PT,4.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,,,CL_UNIT_MEASURE.PT,10.2
