Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.URBANISATION,Units,Value
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG05,,CL_UNIT_MEASURE.PT,54.6
2000,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,59.287149
2001,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,81.005572
2002,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,42.498122
2003,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,57.011499
2004,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,51.655713
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,61.433801
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,52.669155
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,61.234009
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,51.475346
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,34.357172
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,45.552551
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,41.458589
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,56.178597
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,55.445404
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,54.779707
